Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
10000,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,pachydermus,NRRL.YB-4355,GCA_003717275.1,1
10001,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,gravidus,NRRL.Y-17093,GCA_003717255.1,1
10002,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,inundatus,NRRL.Y-6349,GCA_003717165.1,1
10003,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,lactucae-debilis,12-1054,GCA_002105105.1,1
10004,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,lactucae-debilis,12-1054,GCF_002105105.1,1
10005,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,arabidopsidicola,C29,GCA_003568695.1,1
10006,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,inouyei,NRRL.YB-4354,GCA_003717155.1,1
10007,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Protomycetaceae,lactucae-debilis,NRRL.YB-4353,GCA_003717235.1,1
10008,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,fijiensis,CIRAD86,GCA_000340215.1,1
10009,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,fijiensis,CIRAD86,GCF_000340215.1,1
10010,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,ulei,GCL012,GCA_016165855.1,1
10011,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,macadamiae,BRIP.55526,GCA_012978405.1,1
10012,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,vitis,HUCC.2361,GCA_026120125.1,1
10013,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,fuligena,CBS.109729,GCA_014298035.1,1
10014,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,crystallina,NA,GCA_003666085.1,1
10015,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,eumusae,CBS.114824,GCA_001578235.1,1
10016,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,pini-densiflorae,CBS.125139,GCA_000504365.2,1
10017,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,musae,CBS.116634,GCA_001578225.1,1
10018,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,cruenta,NA,GCA_013365205.1,1
10019,Pseudocercospora,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellaceae,fijiensis,IIL-20,GCA_011057605.1,1
10020,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,destructans,20631-21,GCA_001641265.1,1
10021,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,destructans,20631-21,GCF_001641265.1,1
10022,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,verrucosus,UAMH.10579,GCA_001662655.1,1
10023,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,verrucosus,UAMH.10579,GCF_001662655.1,1
10024,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,pannorum,ATCC.16222,GCA_001630605.1,1
10025,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,SDFLT0511,GCA_030180035.1,1
10026,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,23342-1-I1,GCA_001662575.1,1
10027,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,05NY08,GCA_001662605.1,1
10028,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,WSF.3629,GCA_001662585.1,1
10029,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,03VT05,GCA_001662645.1,1
10030,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,BL308,GCA_001630595.1,1
10031,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4516.(FW-969),GCA_000750815.1,1
10032,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-103,GCA_000750895.1,1
10033,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4515.(FW-2607),GCA_000750805.1,1
10034,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,BL549,GCA_001630585.1,1
10035,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,04NY16,GCA_001630575.1,1
10036,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4518.(FW-2643),GCA_000750925.1,1
10037,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4519.(FW-2642),GCA_000750935.1,1
10038,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4517.(FW-2822),GCA_000750875.1,1
10039,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4513.(FW-928),GCA_000750755.1,1
10040,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4514.(FW-929),GCA_000750795.1,1
10041,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-3557,GCA_000750665.1,1
10042,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4520.(FW-2644),GCA_000750995.1,1
10043,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4246,GCA_000750735.1,1
10044,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-4281.(FW-2241),GCA_000750745.1,1
10045,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-3808,GCA_000750675.1,1
10046,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,24MN13,GCA_001662595.1,1
10047,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Pseudeurotiaceae,sp.,VKM.F-3775,GCA_000750715.1,1
