Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
6000,Eutypa,Ascomycota,Pezizomycotina,Sordariomycetes,Diatrypaceae,lata,WB031,GCA_022661395.1,1
6001,Eutypa,Ascomycota,Pezizomycotina,Sordariomycetes,Diatrypaceae,lata,UCREL1,GCA_000349385.1,1
6002,Eutypa,Ascomycota,Pezizomycotina,Sordariomycetes,Diatrypaceae,lata,UCREL1,GCF_000349385.1,1
6003,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,lecanii-corni,CBS.102400,GCA_003955835.1,1
6004,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,xenobiotica,CBS.118157,GCA_000835505.1,1
6005,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,xenobiotica,CBS.118157,GCF_000835505.1,1
6006,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,viscosa,JF.03-3F,GCA_022695815.1,1
6007,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,viscosa,JF.03-3F,GCF_022695815.1,1
6008,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,aquamarina,CBS.119918,GCA_000709125.1,1
6009,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,aquamarina,CBS.119918,GCF_000709125.1,1
6010,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,bonariae,CCFEE.5792,GCA_035927105.1,1
6011,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,dermatitidis,NIH/UT8656,GCA_000230625.1,1
6012,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,dermatitidis,NIH/UT8656,GCF_000230625.1,1
6013,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,spinifera,CBS.89968,GCA_000836115.1,1
6014,Exophiala,Ascomycota,Pezizomycotina,Eurotiomycetes,Herpotrichiellaceae,spinifera,CBS.89968,GCF_000836115.1,1
