Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
4000,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,parapsilosis,NA,GCA_937873065.1,1
4001,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,parapsilosis,NA,GCA_004026445.1,1
4002,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,parapsilosis,NA,GCA_004026285.1,1
4003,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,parapsilosis,NA,GCA_020027075.1,1
4004,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,boidinii,NBRC.101490,GCA_030267865.1,1
4005,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,metapsilosis,R30-23,GCA_027579825.1,1
4006,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,metapsilosis,PA4241B,GCA_027579725.1,1
4007,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,metapsilosis,PG30-16,GCA_027579925.1,1
4008,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,metapsilosis,S30-04,GCA_027579715.1,1
4009,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,metapsilosis,M2006B,GCA_027579685.1,1
4010,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,auris,NA,GCA_001049995.1,1
4011,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,auris,B11220,GCA_003013715.2,1
4012,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,auris,B11220,GCF_003013715.1,1
4013,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,dubliniensis,CD36,GCA_000026945.1,1
4014,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,dubliniensis,CD36,GCF_000026945.1,1
4015,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,vulturna,CBS.14366,GCA_026585945.1,1
4016,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,saopauloensis,19XY460,GCA_035610405.1,1
4017,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,saopauloensis,19XY460,GCF_035610405.1,1
4018,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,zeylanoides,NA,GCA_031851675.1,1
4019,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,hispaniensis,CBS.9996,GCA_900535975.1,1
4020,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,albicans,SC5314,GCA_000182965.3,1
4021,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,albicans,SC5314,GCF_000182965.3,1
4022,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,orthopsilosis,Co.90-125,GCA_000315875.1,1
4023,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,orthopsilosis,Co.90-125,GCF_000315875.1,1
4024,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,intermedia,CBS.141442,GCA_900106115.1,1
4025,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,boidinii,JCM.9604,GCA_001599335.1,1
4026,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,palmioleophila,NRRL.Y-17323,GCA_030560805.1,1
4027,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,oceani,CBS.11857,GCA_030569555.1,1
4028,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,theae,CBS.12239,GCA_024610275.1,1
4029,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,theae,CBS.12239,GCF_024610275.1,1
4030,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,maltosa,NRRL.Y-17677,GCA_030582995.1,1
4031,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,sojae,NCYC-2607,GCA_013177575.1,1
4032,Candida,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,jiufengensis,CBS.10846,GCA_024610255.1,1
