Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
8000,Leptodontidium,Ascomycota,Pezizomycotina,Leotiomycetes,NA,sp.,PMI_412,GCA_021432625.1,1
8001,Leptodontidium,Ascomycota,Pezizomycotina,Leotiomycetes,NA,sp.,MPI-SDFR-AT-0119,GCA_020726505.1,1
8002,Lindgomyces,Ascomycota,Pezizomycotina,Dothideomycetes,Lindgomycetaceae,ingoldianus,ATCC.200398,GCA_010093535.1,1
8003,Lindgomyces,Ascomycota,Pezizomycotina,Dothideomycetes,Lindgomycetaceae,ingoldianus,ATCC.200398,GCF_010093535.1,1
8004,Lineolata,Ascomycota,Pezizomycotina,Dothideomycetes,NA,rhizophorae,ATCC.16933,GCA_010093515.1,1
8005,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,oligophaga,NRRL.Y-17247,GCA_003707545.3,1
8006,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,doorenjongii,NRRL.Y-27504,GCA_003705865.1,1
8007,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,arxii,NRRL.Y-17921,GCA_030557685.1,1
8008,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,yamanashiensis,CBS.14748,GCA_030572775.1,1
8009,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,mesembrius,NRRL.Y-27506,GCA_003705845.3,1
8010,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,anomalus,NRRL.Y-7931,GCA_030580435.1,1
8011,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,yamadae,NRRL.Y-27507,GCA_030556285.1,1
8012,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,chichibuensis,CBS.12929,GCA_030462805.1,1
8013,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,lipofer,NRRL.Y-11555,GCA_003705915.2,1
8014,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,kockii,NRRL.Y-27505,GCA_030568215.1,1
8015,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,japonicus,NRRL.Y-17848,GCA_003705895.2,1
8016,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,yarrowii,CBS.7557,GCA_030407185.1,1
8017,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,starkeyi,AS.2.1560,GCA_018804115.1,1
8018,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,tetrasporus,NRRL.Y-64009,GCA_029532465.1,1
8019,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,tetrasporus,NRRL.Y-64009,GCF_029532465.1,1
8020,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,sp.,NRRL.Y-11553,GCA_003705905.2,1
8021,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,spencermartinsiae,NRRL.Y-7042,GCA_030568255.1,1
8022,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,orientalis,NRRL.Y-27927,GCA_030568275.1,1
8023,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,kononenkoae,NRRL.Y-63818.T,GCA_030564845.1,1
8024,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,sp.,NRRL.Y-27488,GCA_030556275.1,1
8025,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,starkeyi,NRRL.Y-11557,GCA_030556305.1,1
8026,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,starkeyi,NRRL.Y-11557,GCA_001661325.1,1
8027,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,tetrasporus,NRRL.Y-11562,GCA_030568335.1,1
8028,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,arxii,NRRL.Y-17921,GCA_003707585.2,1
8029,Lipomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Lipomycetaceae,spencermartinsiae,NBRC.10376,GCA_030564805.1,1
8030,Lizonia,Ascomycota,Pezizomycotina,Dothideomycetes,Pseudoperisporiaceae,empirigonia,CBS.542.76,GCA_009982855.1,1
8031,Lobaria,Ascomycota,Pezizomycotina,Lecanoromycetes,Lobariaceae,immixta,NA,GCA_022814215.1,1
8032,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,NRRL.YB-4239,GCA_030384665.1,1
8033,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,NRRL.YB-4239,GCF_030384665.1,1
8034,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,sp.,CBS.14171,GCA_030565245.1,1
8035,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,NRRL.YB-4239,GCA_013620985.1,1
8036,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,NRRL.YB-4239,GCA_030557865.1,1
8037,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,PH4014,GCA_023623355.1,1
8038,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,Y5609,GCA_037042335.1,1
8039,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,PG7806,GCA_037041595.1,1
8040,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,DX5113,GCA_037040975.1,1
8041,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,NRRL.YB-4239,GCA_000149685.1,1
8042,Lodderomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,elongisporus,NRRL.YB-4239,GCF_000149685.1,1
