Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
2000,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.492,GCA_032354235.1,1
2001,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.240,GCA_030772425.1,1
2002,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.503,GCA_030780665.1,1
2003,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.435,GCA_030779265.1,1
2004,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.464,GCA_030779055.1,1
2005,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.487,GCA_032354175.1,1
2006,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.590,GCA_030780865.1,1
2007,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.910,GCA_030789425.1,1
2008,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,MBC.483,GCA_030778845.1,1
2009,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,bassiana,D1-5,GCA_000770705.1,1
2010,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.397,GCA_030779765.1,1
2011,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.662,GCA_032354595.1,1
2012,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.668,GCA_032358065.1,1
2013,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.699,GCA_030783465.1,1
2014,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.696,GCA_030783505.1,1
2015,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.254,GCA_032353995.1,1
2016,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.647,GCA_032354635.1,1
2017,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.655,GCA_030782265.1,1
2018,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.641,GCA_030782345.1,1
2019,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.667,GCA_030782125.1,1
2020,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.663,GCA_030782225.1,1
2021,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.674,GCA_030782005.1,1
2022,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,MBC.665,GCA_030782165.1,1
2023,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,brongniartii,RCEF.3172,GCA_001636735.1,1
2024,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.158,GCA_030411555.1,1
2025,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.145,GCA_030411615.1,1
2026,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.045,GCA_030406945.1,1
2027,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.139,GCA_030411595.1,1
2028,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.918,GCA_030789365.1,1
2029,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.900,GCA_030789505.1,1
2030,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.271,GCA_030411475.1,1
2031,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.117,GCA_030777465.1,1
2032,Beauveria,Ascomycota,Pezizomycotina,Sordariomycetes,Cordycipitaceae,pseudobassiana,MBC.952,GCA_032357915.1,1
